"","tripid","ox","oy","oz","departure","dx","dy","dz","arrival","tdistance","ttime","dow","timestamp","uid","id"
"502","103",725584.028154034,9678872.27946847,2487.8,12.57389,722226.704824165,9677244.3137214,2515.2,12.94417,6.19261936732347,0.370279999999999,5,1687438599,"7da0f3b5c9",502
"503","104",722534.800289766,9677316.29902456,2514.8,15.505,725430.81995794,9678628.54707937,2489.3,15.61806,5.10530986806866,0.113059999999999,5,1687448225,"7da0f3b5c9",503
"504","105",725582.675520536,9678862.66560602,2485.9,16.19806,725433.832833922,9678626.52108929,2488,16.72889,15.7115442807466,0.530829999999998,5,1687452224,"7da0f3b5c9",504
"505","106",725541.880946211,9679046.72328018,2490.3,16.96889,722823.122774952,9676868.06733879,2574.7,17.465,11.3580151055412,0.496110000000002,5,1687454874,"7da0f3b5c9",505
"506","107",722830.914353002,9676867.91929189,2574.5,17.76944,723285.555368355,9676802.70133051,2659.8,17.83111,1.18663005503425,0.0616699999999994,5,1687456192,"7da0f3b5c9",506
"507","108",723299.34386967,9676818.78240015,2658.5,18.75972,725429.608635283,9678635.95645296,2494.4,19.29583,11.4314014908151,0.536109999999997,5,1687461465,"7da0f3b5c9",507
"508","109",725510.052506352,9679148.44365508,2492.9,19.80194,723405.889311353,9678465.33112971,2492.6,20.20194,7.14761932247152,0.400000000000002,5,1687464727,"7da0f3b5c9",508
"509","11",725143.029044588,9678894.70480702,2506,20.34139,722143.768729893,9678398.29113762,2519.6,20.58083,7.42255303763288,0.239439999999998,7,1679776491,"7da0f3b5c9",509
"510","110",723747.349330155,9678399.63725062,2488,21.19556,725379.187267966,9678573.41856666,2505.5,21.39583,3.684069911081,0.20027,5,1687469025,"7da0f3b5c9",510
"511","111",725383.284189739,9678551.44840397,2505.3,21.94722,720491.41875701,9676970.66833985,2562.5,22.22972,9.3969643119782,0.282499999999999,5,1687472027,"7da0f3b5c9",511
"512","112",717572.996794299,9678553.46349324,2599.4,21.2625,725411.43770591,9678629.81899381,2500.2,21.70083,11.5268619052682,0.438330000000001,7,1687642923,"7da0f3b5c9",512
"513","113",725529.844369239,9678591.27465973,2491.7,22.61556,718546.865477565,9680092.47173968,2595.1,22.86611,9.67747369033585,0.25055,7,1687647118,"7da0f3b5c9",513
"514","114",718560.175439187,9680134.94774635,2595,0,720643.255542151,9678266.07713423,2547.4,23.99889,29.7917672439787,23.99889,1,1687652107,"7da0f3b5c9",514
"515","115",720600.918634537,9678276.92286863,2548.4,0.45111,722805.687028035,9676875.74193675,2574.3,0.63167,6.83645645231198,0.18056,1,1687653474,"7da0f3b5c9",515
"516","116",722818.914910046,9676863.91439271,2574,0.86528,725416.1128238,9678641.64501761,2509.1,1.88722,30.90537973809,1.02194,1,1687657994,"7da0f3b5c9",516
"517","117",725339.095711985,9678884.71259454,2513.1,11.05667,721539.966052408,9678240.28643108,2525.2,11.3275,7.19907145808248,0.27083,1,1687691979,"7da0f3b5c9",517
"518","118",721909.904562219,9678415.41948193,2510.6,14.10444,720834.785973452,9678794.38188362,2542,14.46222,4.97527419300912,0.35778,1,1687703264,"7da0f3b5c9",518
"519","119",721146.822287755,9678562.65896376,2534,15.17861,725409.150342071,9678636.59112852,2529.8,15.45139,6.77846201168621,0.272779999999999,1,1687706825,"7da0f3b5c9",519
"520","12",722157.80581371,9678724.91944082,2519.2,0.49139,725405.344852795,9678606.86519189,2494.6,1.05583,13.9123573754819,0.56444,1,1679792601,"7da0f3b5c9",520
"521","120",725472.77635993,9679229.47701218,2482.6,15.75472,721524.396680624,9678263.43360819,2525.3,15.90167,6.99502594042098,0.146949999999999,1,1687708446,"7da0f3b5c9",521
"522","121",721562.463789105,9678631.00484146,2525.4,17.33389,720633.491590912,9677143.52409132,2561.8,17.97611,5.3662007685183,0.642219999999998,1,1687715914,"7da0f3b5c9",522
"523","122",720913.36511936,9677360.14175679,2550.4,20.0375,721543.250068411,9678237.50060247,2525.3,20.32917,1.49811623041225,0.29167,1,1687724385,"7da0f3b5c9",523
"524","123",721330.459332176,9678048.46792112,2530.4,21.14944,725404.761939688,9678621.80729779,2492.4,21.74833,16.9733991317682,0.598890000000001,1,1687729494,"7da0f3b5c9",524
"525","124",725442.502627428,9678648.09634349,2503.8,8.56639,722321.948536968,9677252.47819255,2517.8,8.96111,6.55177333155726,0.39472,2,1687769860,"7da0f3b5c9",525
"526","125",722287.714294965,9677227.28681773,2514.6,12.8825,722230.12695389,9677218.31848208,2517.9,13.03833,0.24698530101936,0.15583,2,1687784538,"7da0f3b5c9",526
"527","13",725622.479185701,9678984.77857995,2477.4,11.90583,717466.949064502,9677295.58819422,2586.1,12.16639,10.054020198808,0.26056,1,1679832599,"7da0f3b5c9",527
"528","14",717903.718330068,9677228.65673129,2587.6,13.20333,717389.251104022,9677194.37780169,2589.5,13.91306,19.0030200704723,0.70973,1,1679838887,"7da0f3b5c9",528
"529","15",717933.002946208,9677226.21570552,2586.5,14.22556,722373.515722826,9677109.2025368,2524.8,14.41944,5.2962695354847,0.19388,1,1679840710,"7da0f3b5c9",529
"530","16",722541.137136345,9677169.20967822,2528.7,14.73389,722480.454974854,9677668.77825401,2508.7,14.83972,1.11936213369714,0.105829999999999,1,1679842223,"7da0f3b5c9",530
"531","17",722838.886113101,9677654.47423377,2503.8,15.58611,725424.114274457,9678632.4424588,2489.2,16.02222,5.52771422906169,0.436110000000001,1,1679846480,"7da0f3b5c9",531
"532","18",725518.585354756,9679097.70534428,2471.4,18.785,722373.335472029,9677085.10515155,2528.2,18.90722,4.26863081767092,0.122219999999999,1,1679856866,"7da0f3b5c9",532
"533","19",722536.465437101,9677330.22723475,2513.3,19.37417,725517.089904924,9678625.49690601,2484.7,19.49194,4.40794235009517,0.11777,1,1679858971,"7da0f3b5c9",533
"534","2",722559.200567906,9677182.32394949,2531.8,18.72528,725418.461416621,9678631.23325815,2491.2,19.00528,3.80772395252019,0.279999999999998,6,1679684419,"7da0f3b5c9",534
"535","20",725176.865256694,9678899.18237096,2508.4,6.68139,722323.789933421,9677221.53927965,2505.8,6.90833,3.59010871313655,0.22694,2,1679900070,"7da0f3b5c9",535
"536","21",722563.507479672,9677192.87249281,2526.5,17.60111,722248.304763331,9678301.6681731,2512.5,17.6925,1.54033828080231,0.0913900000000005,2,1679938893,"7da0f3b5c9",536
"537","22",722599.336780082,9677713.81617019,2515.1,17.87056,717799.906946943,9678702.06625546,2564.1,18.39417,7.78225223684799,0.523609999999998,2,1679941419,"7da0f3b5c9",537
